name,R2_test,R2_train,RMSE_real,CV_R2,CV_std
RDF+zdensity+新PH+phys,0.6051213662580468,0.8482624572505875,580.2488824313879,0.7349196092429451,0.04105826084603953
全特徴量,0.606735744373183,0.8468097379540569,569.071949084351,0.7325215687162007,0.03880876201600947
RDF+zdensity+phys (現最良),0.6172640264580909,0.8472194283089945,333.982736906804,0.7270402181024755,0.040171055268269404
pd+RDF+zdensity+phys,0.6191240754312477,0.8525419573257609,382.9197347210912,0.7253765714496186,0.03604538306176548
pd_vector+新PH+phys,0.591685338394713,0.8388200727454065,638.3270718069086,0.686879368052891,0.028906079383393596
新PH記述子+phys,0.5738543217453996,0.8250202537049236,661.6246433402758,0.6816327821249208,0.031560521930565966
pd_vector+phys (v3参照),0.5918881530477144,0.8415154078512477,841.0535257848852,0.6433248485184164,0.07110156351148827
