name,R2_test,R2_train,RMSE_log,RMSE_real,CV_R2,CV_std
RDF+zdensity+phys,0.6172640264580909,0.8472194283089945,1.1837524469167022,333.9827369068043,0.7270402181024755,0.040171055268269355
RDF+zdensity+pd+phys,0.6240210534227185,0.8520140006580594,1.173256614310849,350.2229335112136,0.7267132463733864,0.03769097324101862
RDF+zdensity,0.5687889701654049,0.7723338439888447,1.2564817309551501,530.8881282247197,0.6685951173243526,0.04362368710363882
pd+phys(v3参照),0.5918881530477144,0.8415154078512477,1.222364838495749,841.053525784885,0.6433248485184164,0.07110156351148823
RDF_only,0.5557026463325775,0.7822345235920615,1.2754049879796425,736.3467100244326,0.6187378445312179,0.06947947350660373
z-density_only,0.4871477289907796,0.6643580079681479,1.3702739117147336,602.0723149975553,0.5639635459667469,0.08692779773944521
pd_vector_only,0.3608408496058133,0.6285811364635501,1.5297334146674872,943.5303401289913,0.4195638584546499,0.06128478138094698
