model,R2_test,RMSE_test,R2_train,RMSE_train,CV_R2
ElasticNet,-0.22999556700691692,2272.2318612244835,0.7946430027062189,971.657333819789,-2.01144019408004
Ridge,-0.6080547636831042,2598.0726409305794,0.7978963276004348,963.9299687161712,-6.32348081196624
SVR(RBF),-0.05106044675753241,2100.4614663954926,-0.025264832082046773,2171.082919221524,-0.04818168441966244
RandomForest(Tuned),0.2092037197341844,1821.9362675937577,0.3747095725190277,1695.5057630321319,-0.10877014753753889
GradientBoosting(Tuned),0.23331008386038454,1793.9517071653408,0.8896585438774725,712.2422554157922,-0.3267450826565086
MLP(Tuned),0.10345386549845614,1939.9350658401424,0.930568884975777,564.9830907666978,-0.9639417231469753
